Fiscal Year,Year Start,State,APMC,District,Commodity Group,Commodity,UOM,Sr. No.,Arrived Lots,Arrived Quantity,Traded Lots,Traded Quantity,Trade Value (Rs),Collection Fee (Rs),Source File,Source Page
2022-23,2022,TAMIL NADU,GINGEE,VILLUPURAM,CEREALS,BAJRA FOX TAIL MILLET,Qui,1,29,35.0,25,25.48,89518.72,,MARCH 2023.pdf,1
2022-23,2022,TAMIL NADU,GINGEE,VILLUPURAM,CEREALS,BAJRA MILLET,Qui,2,7,7.0,7,4.89,22620.97,,MARCH 2023.pdf,1
2022-23,2022,TAMIL NADU,GINGEE,VILLUPURAM,CEREALS,CUMBU-HYBRID,Qui,3,54,62.0,53,63.58,328372.35,,MARCH 2023.pdf,1
2022-23,2022,TAMIL NADU,GINGEE,VILLUPURAM,CEREALS,MAIZE,Qui,4,2,3.0,1,1.48,3330.0,,MARCH 2023.pdf,1
2022-23,2022,TAMIL NADU,GINGEE,VILLUPURAM,CEREALS,MAIZE-NEW,Qui,5,1,0.01,0,0.0,0.0,,MARCH 2023.pdf,1
2022-23,2022,TAMIL NADU,GINGEE,VILLUPURAM,CEREALS,PADDY,Qui,6,1,0.75,0,0.0,0.0,,MARCH 2023.pdf,1
2022-23,2022,TAMIL NADU,GINGEE,VILLUPURAM,CEREALS,PADDY -BPT(TN),Qui,7,1,22.5,1,21.86,49228.72,,MARCH 2023.pdf,1
2022-23,2022,TAMIL NADU,GINGEE,VILLUPURAM,CEREALS,PADDY ADT-51(TN),Qui,8,2,3.0,2,2.34,4611.08,,MARCH 2023.pdf,1
2022-23,2022,TAMIL NADU,GINGEE,VILLUPURAM,CEREALS,PADDY LOCAL,Qui,9,101,1632.0,94,14.82,2586411.35,,MARCH 2023.pdf,1
2022-23,2022,TAMIL NADU,GINGEE,VILLUPURAM,CEREALS,PADDY PONNI WHITE(TN),Qui,10,11,193.5,11,189.79,441271.86,,MARCH 2023.pdf,1
2022-23,2022,TAMIL NADU,GINGEE,VILLUPURAM,CEREALS,RAGI,Qui,11,13,25.5,12,21.1,59505.47,,MARCH 2023.pdf,1
2022-23,2022,TAMIL NADU,GINGEE,VILLUPURAM,CEREALS,RAGI-LOCAL,Qui,12,91,129.0,90,175.41,512478.68,,MARCH 2023.pdf,1
2022-23,2022,TAMIL NADU,GINGEE,VILLUPURAM,FIBER CROPS,COTTON,Qui,13,3,3.0,3,2.77,21073.32,,MARCH 2023.pdf,1
2022-23,2022,TAMIL NADU,GINGEE,VILLUPURAM,OIL SEEDS,COPRA,Qui,14,1,0.8,0,0.0,0.0,,MARCH 2023.pdf,1
2022-23,2022,TAMIL NADU,GINGEE,VILLUPURAM,OIL SEEDS,COPRA_80 KG(TN),Qui,15,13,11.2,13,6.87,47682.69,,MARCH 2023.pdf,1
2022-23,2022,TAMIL NADU,GINGEE,VILLUPURAM,OIL SEEDS,GINGELLY_80 KG(TN),Qui,16,172,137.6,171,110.51,1657825.25,,MARCH 2023.pdf,1
2022-23,2022,TAMIL NADU,GINGEE,VILLUPURAM,OIL SEEDS,GROUND NUT,Qui,17,178,216.68,109,124.3,1110137.33,,MARCH 2023.pdf,1
